Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename
,DN250 PE100 PN10 HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN250 PE100 PN6 HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Drip Sample Kit,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Emmitting Pipe CL-II(12MM 4LPH 40CM)Round,,8.19,0,,0,0,Y,0,0,0,0,Rajasthan
,Soc 63mm E5 HDPE Spk MLC,,0,0,,0,0,Y,0,0,0,0,Rajasthan
,DN250 PE100 PN6 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN280 PE100 PN6 HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN280 PE100 PN6 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN315 PE100 PN16 HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN315 PE100 PN6 HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN315 PE100 PN6 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN315 PE100 PN8 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN355 PE100 PN6 HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN355 PE100 PN6 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN400 PE100 PN10 HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Soc 63MM E-5 HDPE Spk PCN,,0,0,,0,0,Y,0,0,0,0,Rajasthan
,Dripper Plug 2.5mm,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN450 PE80 PN4 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN500 PE100 PN8 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN75 PE100 PN6 HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN90 PE100 PN10 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN90 PE100 PN6 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN90 PE100 PN6 N HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN90 PE80 PN6 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,MDPE PIPE 20MM PN16 PE80(ISO:4427),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,MDPE PIPE 25MM PN16 PE80(ISO:4427),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Soc 63MM E-5 HDPE Spk Tee,,0,0,,0,0,Y,0,0,0,0,Rajasthan
,PVC PIPE 110MMX2.5KG/CM2(MTR),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Elbow 110mm PVC,,158.9,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 110MMX4KG/CM2 (MTR),,187.45,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 110MMX6KG/CM2 (MTR),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 140MMX2.5KG/CM2 (MTR),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 140MMX4KG/CM2(Mtr),,262.5,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 140MMX6KG/CM2(Mtr),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 160MMX2.5KG/CM2 (MTR),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 160MMX6KG/CM2 (MTR),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 200MMX2.5KG/CM2 (MTR),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Soc 63mm Epc Spk Latch (P/c),,0,0,,0,0,Y,0,0,0,0,Rajasthan
,PVC PIPE 200MMX4KG/CM2 (MTR),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 200MMX6KG/CM2 (MTR),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Elbow 110mm(PP),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 225MMX4KG/CM2 CASING PIPE(MTR),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 225MMX6KG/CM2 CASING PIPE(MTR),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 32MMX10KG/CM2 (MTR),,48,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 40MMX6KG/CM2 (MTR),,47,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 50MMX6KG/CM2 (MTR),,59.25,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC Pipe 63mm x 4 Kg / Cm2(MTR)XXXXXXXX,,65.42,0,,0,0,Y,0,0,0,0,Maharashtra
,PVC PIPE 63MM X 4 KG/CM2 (MTR),,65,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 63mm HDPE Spk End Cap,,70,0,,0,0,Y,0,0,0,0,Rajasthan
