depot code ,destination code ,freight,acedns,date
A102,DES00416,,,
A102,DES00417,,,
A102,DES00418,,,
A102,DES00419,,,
A102,DES00420,,,
A102,DES00421,,,
A102,DES00422,,,
A102,DES00423,,,
A102,DES00424,,,
A102,DES00425,,,
A102,DES00426,,,
A102,DES00427,,,
A102,DES00428,,,
A102,DES00429,,,
A102,DES00430,,,
A102,DES00431,,,
A102,DES00432,,,
A102,DES00433,,,
A102,DES00434,,,
A102,DES00435,,,
A102,DES00436,,,
A102,DES00437,,,
A102,DES00438,,,
A102,DES00439,,,
A102,DES00440,,,
A102,DES00441,,,
A102,DES00442,,,
A102,DES00443,,,
A102,DES00444,,,
A102,DES00445,,,
A102,DES00446,,,
A102,DES00447,,,
A102,DES00448,,,
A102,DES00449,,,
A102,DES00450,,,
A102,DES00451,,,
A102,DES00452,,,
A102,DES00453,,,
A102,DES00454,,,
A102,DES00455,,,
A102,DES00456,,,
A102,DES00457,,,
A102,DES00458,,,
A102,DES00459,,,
A102,DES00460,,,
A102,DES00461,,,
A102,DES00462,,,
A102,DES00463,,,
A102,DES00464,,,
A102,DES00465,,,
A102,DES00466,,,
A102,DES00467,,,
A102,DES00468,,,
A102,DES00469,,,
A102,DES00470,,,
A102,DES00471,,,
A102,DES00472,,,
A102,DES00473,,,
A102,DES00474,,,
A102,DES00475,,,
A102,DES00476,,,
A102,DES00477,,,
A102,DES00478,,,
A102,DES00479,,,
A102,DES00480,,,
A102,DES00481,,,
A102,DES00482,,,
A102,DES00483,,,
A102,DES00484,,,
A102,DES00485,,,
A102,DES00486,,,
A102,DES00487,,,
A102,DES00488,,,
A102,DES00489,,,
A102,DES00490,,,
A102,DES00491,,,
A102,DES00492,,,
A102,DES00493,,,
A102,DES00494,,,
A102,DES00495,,,
A102,DES00496,,,
A102,DES00497,,,
A102,DES00498,,,
A102,DES00499,,,
A102,DES00500,,,
A102,DES00501,,,
A102,DES00502,,,
A102,DES00503,,,
A102,DES00504,,,
A102,DES00505,,,
A102,DES00506,,,
A102,DES00507,,,
A102,DES00508,,,
A102,DES00509,,,
A102,DES00510,,,
A102,DES00511,,,
A102,DES00512,,,
A102,DES00513,,,
A102,DES00514,,,
A102,DES00515,,,
A102,DES00516,,,
A102,DES00517,,,
A102,DES00518,,,
A102,DES00519,,,
A102,DES00520,,,
A102,DES00521,,,
A102,DES00522,,,
A102,DES00523,,,
A102,DES00524,,,
A102,DES00525,,,
A102,DES00526,,,
A102,DES00527,,,
A102,DES00528,,,
A102,DES00529,,,
A102,DES00530,,,
A102,DES00531,,,
A102,DES00532,,,
A102,DES00533,,,
A102,DES00534,,,
A102,DES00535,,,
A102,DES00536,,,
A102,DES00537,,,
A102,DES00538,,,
A102,DES00539,,,
A102,DES00540,,,
A102,DES00541,,,
A102,DES00542,,,
A102,DES00543,,,
A102,DES00544,,,
A102,DES00545,,,
A102,DES00546,,,
A102,DES00547,,,
A102,DES00548,,,
A102,DES00549,,,
A102,DES00550,,,
A102,DES00551,,,
A102,DES00552,,,
A102,DES00553,,,
A102,DES00554,,,
A102,DES00555,,,
A102,DES00556,,,
A102,DES00557,,,
A102,DES00558,,,
A102,DES00559,,,
A102,DES00560,,,
A102,DES00561,,,
A102,DES00562,,,
A102,DES00563,,,
A102,DES00564,,,
A102,DES00565,,,
A102,DES00566,,,
A102,DES00567,,,
A102,DES00568,,,
A102,DES00569,,,
A102,DES00570,,,
A102,DES00571,,,
A102,DES00572,,,
A102,DES00573,,,
A102,DES00574,,,
A102,DES00575,,,
A102,DES00576,,,
A102,DES00577,,,
A102,DES00578,,,
A102,DES00579,,,
A102,DES00580,,,
A102,DES00581,,,
A102,DES00582,,,
A102,DES00583,,,
A102,DES00584,,,
A102,DES00585,,,
A102,DES00586,,,
A102,DES00587,,,
A102,DES00588,,,
A102,DES00589,,,
A102,DES00590,,,
A102,DES00591,,,
A102,DES00592,,,
A102,DES00593,,,
A102,DES00594,,,
A102,DES00595,,,
A102,DES00596,,,
A102,DES00597,,,
A102,DES00598,,,
A102,DES00599,,,
A102,DES00600,,,
A102,DES00601,,,
A102,DES00602,,,
A102,DES00603,,,
A102,DES00604,,,
A102,DES00605,,,
A102,DES00606,,,
A102,DES00607,,,
A102,DES00608,,,
A102,DES00609,,,
A102,DES00610,,,
A102,DES00611,,,
A102,DES00612,,,
A102,DES00613,,,
A102,DES00614,,,
A102,DES00615,,,
A102,DES00616,,,
A102,DES00617,,,
A102,DES00618,,,
A102,DES00619,,,
A102,DES00620,,,
A102,DES00621,,,
A102,DES00622,,,
A102,DES00623,,,
A102,DES00624,,,
A102,DES00625,,,
A102,DES00626,,,
A102,DES00627,,,
A102,DES00628,,,
A102,DES00629,,,
A102,DES00630,,,
A102,DES00631,,,
A102,DES00632,,,
A102,DES00633,,,
A102,DES00634,,,
A102,DES00635,,,
A102,DES00636,,,
A102,DES00637,,,
A102,DES00638,,,
A102,DES00639,,,
A102,DES00640,,,
A102,DES00641,,,
A102,DES00642,,,
A102,DES00643,,,
A103,DES00644,,,
A103,DES00645,,,
A103,DES00646,,,
A103,DES00647,,,
A103,DES00648,,,
A103,DES00649,,,
A103,DES00650,,,
A103,DES00651,,,
A103,DES00652,,,
A103,DES00653,,,
A103,DES00654,,,
A103,DES00655,,,
A103,DES00656,,,
A103,DES00657,,,
A103,DES00658,,,
A103,DES00659,,,
A103,DES00660,,,
A103,DES00661,,,
A103,DES00662,,,
A103,DES00663,,,
A103,DES00664,,,
A103,DES00665,,,
A103,DES00666,,,
A103,DES00667,,,
A103,DES00668,,,
A103,DES00669,,,
A103,DES00670,,,
A103,DES00671,,,
A103,DES00672,,,
A103,DES00673,,,
A103,DES00674,,,
A103,DES00675,,,
A103,DES00676,,,
A103,DES00677,,,
A103,DES00678,,,
A103,DES00679,,,
A103,DES00680,,,
A103,DES00681,,,
A103,DES00682,,,
A103,DES00683,,,
A103,DES00684,,,
A103,DES00685,,,
A103,DES00686,,,
A104,DES00687,,,
A104,DES00688,,,
A104,DES00689,,,
A104,DES00690,,,
A104,DES00691,,,
A104,DES00692,,,
A104,DES00693,,,
A104,DES00694,,,
A104,DES00695,,,
A104,DES00696,,,
A104,DES00697,,,
A104,DES00698,,,
A104,DES00699,,,
A104,DES00700,,,
A104,DES00701,,,
A104,DES00702,,,
A104,DES00703,,,
A104,DES00704,,,
A104,DES00705,,,
A104,DES00706,,,
A104,DES00707,,,
A104,DES00708,,,
A104,DES00709,,,
A104,DES00710,,,
A104,DES00711,,,
A104,DES00712,,,
A104,DES00713,,,
A104,DES00714,,,
A104,DES00715,,,
A104,DES00716,,,
A104,DES00717,,,
A104,DES00718,,,
A104,DES00719,,,
A104,DES00720,,,
A104,DES00721,,,
A104,DES00722,,,
A104,DES00723,,,
A104,DES00724,,,
A104,DES00725,,,
A104,DES00726,,,
A104,DES00727,,,
A104,DES00728,,,
A104,DES00729,,,
A104,DES00730,,,
A104,DES00731,,,
A104,DES00732,,,
A104,DES00733,,,
A104,DES00734,,,
A104,DES00735,,,
A104,DES00736,,,
A104,DES00737,,,
A104,DES00738,,,
A104,DES00739,,,
A104,DES00740,,,
A104,DES00741,,,
A104,DES00742,,,
A104,DES00743,,,
A104,DES00744,,,
A104,DES00745,,,
A104,DES00746,,,
A104,DES00747,,,
A104,DES00748,,,
A104,DES00749,,,
A104,DES00750,,,
A104,DES00751,,,
A104,DES00752,,,
A104,DES00753,,,
A104,DES00754,,,
A104,DES00755,,,
A104,DES00756,,,
A104,DES00757,,,
A104,DES00758,,,
A104,DES00759,,,
A104,DES00760,,,
A104,DES00761,,,
A104,DES00762,,,
A104,DES00763,,,
A104,DES00764,,,
A104,DES00765,,,
A104,DES00766,,,
A104,DES00767,,,
A104,DES00768,,,
A104,DES00769,,,
A104,DES00770,,,
A104,DES00771,,,
A104,DES00772,,,
A104,DES00773,,,
A104,DES00774,,,
A104,DES00775,,,
A104,DES00776,,,
A104,DES00777,,,
A104,DES00778,,,
A104,DES00779,,,
A104,DES00780,,,
A104,DES00781,,,
A104,DES00782,,,
A104,DES00783,,,
A104,DES00784,,,
A104,DES00785,,,
A104,DES00786,,,
A104,DES00787,,,
A104,DES00788,,,
A104,DES00789,,,
A104,DES00790,,,
A104,DES00791,,,
A104,DES00792,,,
A104,DES00793,,,
A104,DES00794,,,
A104,DES00795,,,
A104,DES00796,,,
A104,DES00797,,,
A104,DES00798,,,
A104,DES00799,,,
A104,DES00800,,,
A104,DES00801,,,
A104,DES00802,,,
A104,DES00803,,,
A104,DES00804,,,
A104,DES00805,,,
A104,DES00806,,,
A104,DES00807,,,
A104,DES00808,,,
A104,DES00809,,,
A104,DES00810,,,
A104,DES00811,,,
A104,DES00812,,,
A104,DES00813,,,
A104,DES00814,,,
A104,DES00815,,,
A104,DES00816,,,
A104,DES00817,,,
A104,DES00818,,,
A104,DES00819,,,
A104,DES00820,,,
A104,DES00821,,,
A104,DES00822,,,
A104,DES00823,,,
A104,DES00824,,,
A104,DES00825,,,
A104,DES00826,,,
A104,DES00827,,,
A104,DES00828,,,
A104,DES00829,,,
A104,DES00830,,,
A104,DES00831,,,
A104,DES00832,,,
A104,DES00833,,,
A104,DES00834,,,
A104,DES00835,,,
A104,DES00836,,,
A104,DES00837,,,
A104,DES00838,,,
A104,DES00839,,,
A104,DES00840,,,
A104,DES00841,,,
A104,DES00842,,,
A104,DES00843,,,
A104,DES00844,,,
A104,DES00845,,,
A104,DES00846,,,
A104,DES00847,,,
A104,DES00848,,,
A104,DES00849,,,
A104,DES00850,,,
A104,DES00851,,,
A104,DES00852,,,
A104,DES00853,,,
A104,DES00854,,,
A104,DES00855,,,
A104,DES00856,,,
A104,DES00857,,,
A104,DES00858,,,
A104,DES00859,,,
A104,DES00860,,,
A104,DES00861,,,
A104,DES00862,,,
A104,DES00863,,,
A104,DES00864,,,
A104,DES00865,,,
A104,DES00866,,,
A104,DES00867,,,
A104,DES00868,,,
A104,DES00869,,,
A104,DES00870,,,
A104,DES00871,,,
A104,DES00872,,,
A104,DES00873,,,
A104,DES00874,,,
A104,DES00875,,,
A104,DES00876,,,
A104,DES00877,,,
A104,DES00878,,,
A104,DES00879,,,
A104,DES00880,,,
A104,DES00881,,,
A104,DES00882,,,
A104,DES00883,,,
A104,DES00884,,,
A104,DES00885,,,
A104,DES00886,,,
A104,DES00887,,,
A104,DES00888,,,
A104,DES00889,,,
A104,DES00890,,,
A104,DES00891,,,
A104,DES00892,,,
A104,DES00893,,,
A104,DES00894,,,
A104,DES00895,,,
A104,DES00896,,,
A104,DES00897,,,
A104,DES00898,,,
A104,DES00899,,,
A104,DES00900,,,
A104,DES00901,,,
A104,DES00902,,,
A104,DES00903,,,
A104,DES00904,,,
A104,DES00905,,,
A104,DES00906,,,
A104,DES00907,,,
A104,DES00908,,,
A104,DES00909,,,
A104,DES00910,,,
A104,DES00911,,,
A104,DES00912,,,
A104,DES00913,,,
A104,DES00914,,,
A104,DES00915,,,
A104,DES00916,,,
A104,DES00917,,,
A104,DES00918,,,
A104,DES00919,,,
A104,DES00920,,,
A104,DES00921,,,
A104,DES00922,,,
A104,DES00923,,,
A105,DES00924,,,
A105,DES00925,,,
A105,DES00926,,,
A105,DES00927,,,
A105,DES00928,,,
A105,DES00929,,,
A105,DES00930,,,
A105,DES00931,,,
A105,DES00932,,,
A105,DES00933,,,
A105,DES00934,,,
A105,DES00935,,,
A105,DES00936,,,
A105,DES00937,,,
A105,DES00938,,,
A105,DES00939,,,
A105,DES00940,,,
A105,DES00941,,,
A105,DES00942,,,
A105,DES00943,,,
A105,DES00944,,,
A105,DES00945,,,
A105,DES00946,,,
A105,DES00947,,,
A105,DES00948,,,
A105,DES00949,,,
A105,DES00950,,,
A105,DES00951,,,
A105,DES00952,,,
A105,DES00953,,,
A105,DES00954,,,
A105,DES00955,,,
A105,DES00956,,,
A105,DES00957,,,
A105,DES00958,,,
A105,DES00959,,,
A105,DES00960,,,
A105,DES00961,,,
A105,DES00962,,,
A105,DES00963,,,
A105,DES00964,,,
A105,DES00965,,,
A105,DES00966,,,
A105,DES00967,,,
A105,DES00968,,,
A105,DES00969,,,
A105,DES00970,,,
A105,DES00971,,,
A105,DES00972,,,
A105,DES00973,,,
A105,DES00974,,,
A105,DES00975,,,
A105,DES00976,,,
A105,DES00977,,,
A105,DES00978,,,
A105,DES00979,,,
A105,DES00980,,,
A105,DES00981,,,
A105,DES00982,,,
A105,DES00983,,,
A105,DES00984,,,
A105,DES00985,,,
A105,DES00986,,,
A105,DES00987,,,
A105,DES00988,,,
A105,DES00989,,,
A105,DES00990,,,
A105,DES00991,,,
A105,DES00992,,,
A105,DES00993,,,
A105,DES00994,,,
A105,DES00995,,,
A105,DES00996,,,
A105,DES00997,,,
A105,DES00998,,,
A105,DES00999,,,
A105,DES01000,,,
A105,DES01001,,,
A105,DES01002,,,
A105,DES01003,,,
A105,DES01004,,,
A105,DES01005,,,
A105,DES01006,,,
A105,DES01007,,,
A105,DES01008,,,
A105,DES01009,,,
A105,DES01010,,,
A105,DES01011,,,
A105,DES01012,,,
A105,DES01013,,,
A105,DES01014,,,
A105,DES01015,,,
A105,DES01016,,,
A105,DES01017,,,
A105,DES01018,,,
A105,DES01019,,,
A105,DES01020,,,
A105,DES01021,,,
A105,DES01022,,,
A105,DES01023,,,
A105,DES01024,,,
A105,DES01025,,,
A105,DES01026,,,
A105,DES01027,,,
A105,DES01028,,,
A105,DES01029,,,
A105,DES01030,,,
A105,DES01031,,,
A105,DES01032,,,
A105,DES01033,,,
A105,DES01034,,,
A105,DES01035,,,
A105,DES01036,,,
A105,DES01037,,,
A105,DES01038,,,
A105,DES01039,,,
A105,DES01040,,,
A105,DES01041,,,
A105,DES01042,,,
A105,DES01043,,,
A105,DES01044,,,
A105,DES01045,,,
A105,DES01046,,,
A105,DES01047,,,
A105,DES01048,,,
A105,DES01049,,,
A105,DES01050,,,
A105,DES01051,,,
A105,DES01052,,,
A105,DES01053,,,
A105,DES01054,,,
A105,DES01055,,,
A105,DES01056,,,
A105,DES01057,,,
A105,DES01058,,,
A105,DES01059,,,
A105,DES01060,,,
A105,DES01061,,,
A105,DES01062,,,
A105,DES01063,,,
A105,DES01064,,,
A105,DES01065,,,
A105,DES01066,,,
A105,DES01067,,,
A105,DES01068,,,
A105,DES01069,,,
A105,DES01070,,,
A105,DES01071,,,
A105,DES01072,,,
A105,DES01073,,,
A105,DES01074,,,
A105,DES01075,,,
A105,DES01076,,,
A105,DES01077,,,
A105,DES01078,,,
A105,DES01079,,,
A105,DES01080,,,
A105,DES01081,,,
A105,DES01082,,,
A105,DES01083,,,
A105,DES01084,,,
A105,DES01085,,,
A105,DES01086,,,
A105,DES01087,,,
A105,DES01088,,,
A105,DES01089,,,
A105,DES01090,,,
A105,DES01091,,,
A105,DES01092,,,
A105,DES01093,,,
A105,DES01094,,,
A105,DES01095,,,
A105,DES01096,,,
A105,DES01097,,,
A105,DES01098,,,
A105,DES01099,,,
A105,DES01100,,,
A105,DES01101,,,
A105,DES01102,,,
A105,DES01103,,,
A105,DES01104,,,
A105,DES01105,,,
A105,DES01106,,,
A105,DES01107,,,
A105,DES01108,,,
A105,DES01109,,,
A105,DES01110,,,
A105,DES01111,,,
A105,DES01112,,,
A105,DES01113,,,
A105,DES01114,,,
A105,DES01115,,,
A105,DES01116,,,
A105,DES01117,,,
A105,DES01118,,,
A105,DES01119,,,
A105,DES01120,,,
A105,DES01121,,,
A105,DES01122,,,
A105,DES01123,,,
A105,DES01124,,,
A105,DES01125,,,
