Route Code,Route Name
TIN0001,"BAHADUR CHARIALI"
DH03188,"BAHADUR PUR"
NTBH003,"BAHADURGANJ"
KIS0018,"BAHADURGANJ"
KI02737,"BAHADURGUNJ"
WA01981,"BAHADURGUNJ"
KR00715,"BAHADURPUR"
BIR0075,"BAHADURPUR"
DAR0013,"BAHADURPUR"
TA03387,"BAHARAGORA"
MA01007,"BAHARAL"
MA01193,"BAHARGOLA, MALDA"
KA00314,"BAHARU"
KIS0046,"BAHDURGANJ"
DA02004,"BAHERI"
KR00716,"BAHIRGACHI"
BI00085,"BAHIRI"
MA01159,"BAHIRKAP"
MO00834,"BAHIRKHAND"
KA00315,"BAHIRPUA"
BEG0014,"BAHRAMPUR"
MO00835,"BAHULA"
BIR0051,"BAHUTAL"
GA02360,"BAID HADA MORE"
KO00407,"BAIDYABATI"
DNK0001,"BAIDYABATI"
BA00003,"BAIDYANATHPUR"
BUR0159,"BAIDYANATHPUR"
MO00836,"BAIDYAPUR"
GUWR0005,"BAIHATA"
GHY3701,"BAIHATA"
GHY0014,"BAIHATA"
OTH0485,"BAIHATA (GUWAHATI RURAL)"
OTH0299,"BAIHATA CHARIALI"
OTH0484,"BAIHATA CHARIALI (GUWAHATI RURAL)"
SA02799,"BAIJANATHPUR"
DE03005,"BAIJNATHPUR"
GA02419,"BAIJUBIGHA"
BUR0010,"BAIKANTAPUR"
BUR0079,"BAIKUNTHAPUR"
SI02678,"BAIKUNTHPUR"
KO00408,"BAINAN"
SHA0011,"BAINAN"
OTH0532,"BAIRABI (MIZORAM)"
OTH0449,"BAIRABI DUMP RAIL (MIZORAM)"
MA01135,"BAIRAT"
MUZ0001,"BAIRGANIA"
BEG0008,"BAISA"
PUR00031,"BAISA"
KA02593,"BAISI"
PUR0018,"BAISI"
MA01008,"BAISNAB NAGAR"
MA01154,"BAISNAB NAGAR,STAND"
HOJA0012,"BAITHALANGSU"
NGN0101,"BAITHALANGSU"
OTH0324,"BAITHLANGSU"
OTH0741,"BAITHLANGSU (NAGAON)"
LBA0101,"BAJALI1"
