Customer Code,Customer Name,April,April Achv.,April prev year,April prev year Achv.,May,May Achv.,May prev year,May prev year Achv.,June,June Achv.,June prev year.,June prev year Achv.,July,July Achv.,July prev year,July prev year Achv.,August,August Achv.,August prev year,August prev year Achv.,September,September Achv.,September prev year,September prev year Achv.,October,October Achv.,October prev year,October prev year Achv.,November,November Achv.,November prev year,November prev year Achv.,December,December Achv.,December prev year,December prev year Achv.,January,January Achv.,January  prev year,January prev year Achv.,February,February Achv.,February  prev year,February  prev year Achv.,March,March Achv.,March prev year,March prev year Achv.
WBG078,GOURI ENTERPRISE (DAKSHIN DINAJPUR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBK032,KAJAL LOUHA BHANDAR (D DINAJPUR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEC138,CLASSIC TYRES,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBM220,MAHALAXMI HARDWARES (D.DINAJPUR),0,0,120,76,0,0,115,140,0,0,105,113,0,0,80,90,0,0,110,80,0,0,60,56,0,0,50,20,0,0,100,42,0,0,65,30,0,0,60,18.5,0,0,120,20,0,0,110,13.5
WBN051,NEW BURIMA HARDWARE,0,0,250,181,0,0,225,231,0,0,200,205,0,0,200,203,0,0,230,200,0,0,165,179,0,0,180,180,0,0,225,225,0,0,165,313.5,0,0,200,258,0,0,280,285,0,0,300,506
WBR117,ROY ENTERPRISE (BALURGHAT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBM250,MAA ENTERPRISE (DEHABOND),0,0,80,55,0,0,80,50,0,0,70,0,0,0,50,35,0,0,60,20,0,0,35,45,0,0,60,25,0,0,60,50,0,0,100,50,0,0,50,25,0,0,100,55,0,0,110,55
SDRE08740,AK TRADERS (RSRA0413),0,55,0,0,0,35,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBT020,TAJ LOUHA BHANDAR,0,0,75,122.5,0,0,70,90,0,0,75,105.5,0,0,75,91.5,0,0,100,84.5,0,0,90,81,0,0,100,70,0,0,70,40,0,0,50,61.75,0,0,50,49,0,0,70,90,0,0,70,78.5
WBH035,HASIBUR RAHAMAN,0,0,250,0,0,0,25,0,0,0,500,0,0,0,25,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,50,0,0,0,200,0,0,0,140,0
WBR095,RIZWAN ENTERPRISES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBN039,NARAYAN METAL STORES (UTTAR DINAJPUR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDRE06794,KAILASH KARMAKAR(RSDK730),0,8.5,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D106,DADA BHAI SUPPLIERS,0,0,100,149.5,0,0,125,95,0,0,100,135,0,0,125,130,0,0,100,116,0,0,100,75,0,0,75,85,0,0,75,95,0,0,100,125,0,0,125,135,0,0,100,125,0,0,200,160
WBI015,IMRAN HARDWARE,0,0,150,153.95,0,0,150,175,0,0,150,235,0,0,200,175,0,0,150,189.95,0,0,125,155,0,0,125,140.9,0,0,150,40,0,0,150,120,0,0,120,134.9,0,0,170,142.5,0,0,170,189.75
NEM443,M.S CONTRUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R128,RAJA SEN (UTTAR DINAJPUR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBD071,DADA BHAI SUPPLY & HARDWARE,0,0,250,21,0,0,75,86.75,0,0,100,80,0,0,100,116.5,0,0,75,105,0,0,100,93,0,0,95,35,0,0,100,49,0,0,50,172,0,0,100,14,0,0,70,81.5,0,0,100,366.5
WBS263,SINGHI BUILDERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBS268,SANTOSH ROY,0,0,65,81.5,0,0,75,75.75,0,0,75,55,0,0,50,82,0,0,40,61,0,0,60,55,0,0,50,25,0,0,50,0,0,0,50,100,0,0,50,52,0,0,100,0,0,0,100,60
WBM252,MATADI BUILDERS,0,0,2400,3047.75,0,0,2615,2702,0,0,2000,2594.5,0,0,2500,2080.5,0,0,2000,2024.5,0,0,1500,1339.5,0,0,1500,2151,0,0,2115,2827.75,0,0,2500,3596.5,0,0,3000,4674.5,0,0,4050,5977.75,0,0,4200,8622.9
WBB084,BISHNU ENTERPRISE (U.DINAJPUR),0,0,150,189.5,0,0,175,203,0,0,150,240,0,0,200,140,0,0,150,240,0,0,150,180,0,0,175,180,0,0,150,170,0,0,200,275.65,0,0,200,309.1,0,0,200,387.5,0,0,400,504
NEL138,LADURAM ANAND KUMAR AND CO,0,0,0,0,0,0,0,0,0,0,0,13,0,0,14.56,13,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBS181,SAROJ HARDWARE STORES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBR111,R.K.HARDWARE (ISLAMPUR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBZ004,ZOHAR TRADERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBA092,AHMAD SUPPLIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBA077,ABDUL SOVAN,0,0,200,0,0,0,30,10,0,0,40,16,0,0,25,28,0,0,150,38.5,0,0,40,20,0,0,20,10,0,0,25,12,0,0,30,30,0,0,30,30.5,0,0,30,7.5,0,0,30,0
WBK046,KALIMI HARDWARE STORES,0,0,50,0,0,0,50,10,0,0,100,20,0,0,50,0,0,0,100,34.5,0,0,50,0,0,0,100,0,0,0,25,1,0,0,100,0,0,0,200,53,0,0,150,0,0,0,150,0
