Destination Code,Destination Name
DES05254,"AMINPUR"
DES02412,"AMLAREM"
DES02139,"AMLAREM (EX-FACTORY)"
DES07317,"AMLASULI"
DES04487,"AMLASULI (EX MDNP)"
DES00690,"AMLIGHAT (NGN)"
DES03750,"AMLORI SARSAR EX SIWAN"
DES03577,"AMNOUR EX CHAPRA"
DES06336,"AMONI"
DES02865,"AMOUR (EX KATIHAR)"
DES02897,"AMOUR (EX-KISHANGANJ)"
DES00279,"AMOYAPUR"
DES07318,"AMPATI"
DES00644,"AMPATI - AMPATI"
DES07319,"AMRAGHAT"
DES02487,"AMRAPARA (EX DEOGHAR)"
DES07320,"AMRESH NAGAR"
DES07322,"AMRITA KUNDU(EX RAGHUNATHGANJ)"
DES07321,"AMRITA KUNDU(EX- BERHAMPORE)"
DES05597,"AMRITI"
DES07323,"Amriti (Ex Malda)"
DES00004,"AMSING JORABAT (KAM)"
DES07324,"AMTA/JHIKIRA"
DES04222,"AMTA/JHIKIRA (EX-DANKUNI)"
DES07325,"AMTALA"
DES10444,"AMTALA (CSZ)"
DES04007,"AMTALA (EX-KALIGHAT)"
DES07327,"AMTALA(EX RAGHUNATHGANJ)"
DES07326,"AMTALA(EX- BERHAMPORE)"
DES02413,"AMTAPOH"
DES02140,"AMTAPOH (EX-FACTORY)"
DES00691,"AMTRENG (NGN)"
DES07328,"AMUA (Ex BEHRM)"
DES07330,"AMUA(EX RAGHUNATHGANJ)"
DES07329,"AMUA(EX- BERHAMPORE)"
DES07331,"AMUA(EX-RAGHUNATHGANJ)"
DES03905,"AMUDDYA (EX-SAITHIA)"
DES01174,"ANAND TINALI (NLP)"
DES07332,"ANANDA BAZAR"
DES00280,"ANANDA BAZAR (PATHSALA)"
DES10383,"ANANDANAGAR"
DES00281,"ANANDAPUR (LA)"
DES07334,"ANANTAPUR(EX RAGHUNATHGANJ)"
DES07333,"ANANTAPUR(EX- BERHAMPORE)"
DES07335,"ANARA"
DES04808,"ANARA (EX-PURULIA)"
DES07336,"ANCHALI (LA)"
DES07337,"ANDAL"
DES04300,"ANDAL (EX RNJ)"
